,金額,日付,メモ,カテゴリー名
357,-300,2019/02/19,玉子丼,食費
358,-740,2019/02/18,梅田→学研北生駒,チャージ(交通費)
359,-200,2019/02/18,大学から駅(つもり貯金),チャージ(交通費)
360,-180,2019/02/18,鶴橋→大阪,チャージ(交通費)
361,-500,2019/02/18,学研北生駒→鶴橋,チャージ(交通費)
362,-200,2019/02/18,大学から北生駒(つもり貯金),チャージ(交通費)
363,-2310,2019/02/18,ゆかり,交際費
364,-2000,2019/02/18,牛タン,交際費
365,-360,2019/02/16,ヘパリーゼ,食費
366,-740,2019/02/16,学研北生駒→梅田,チャージ(交通費)
367,-400,2019/02/16,奈良先端大→学研北生駒(つもり),チャージ(交通費)
368,-4000,2019/02/16,飲み会,交際費
369,-1240,2019/02/16,ラーメンセット,交際費
370,-2000,2019/02/15,飲み会,交際費
371,-1834,2019/02/15,米,食費
372,88400,2019/02/15,奨学金,貯金 (ゆうちょ)
373,-200,2019/02/13,食堂(うどん),食費
374,-388,2019/02/12,ファミマ,食費
375,-1064,2019/02/12,チーズフォンデュ,交際費
376,-200,2019/02/11,学研北生駒から奈良先端,チャージ(交通費)
377,-460,2019/02/11,芦屋から鶴橋,チャージ(交通費)
378,-500,2019/02/11,鶴橋から学研北生駒,チャージ(交通費)
379,-300,2019/02/11,東梅田→芦屋,チャージ(交通費)
380,-740,2019/02/11,学研北生駒から東梅田,チャージ(交通費)
381,-200,2019/02/11,奈良先端大から学研北生駒,チャージ(交通費)
382,-200,2019/02/11,学研北生駒→奈良先端大,チャージ(交通費)
383,-680,2019/02/11,大阪から学研北生駒,チャージ(交通費)
384,-100,2019/02/10,マックのコーヒー(TC),食費
385,-604,2019/02/10,家から東京駅,チャージ(交通費)
386,-200,2019/02/10,住民票印刷,契約
387,-7630,2019/02/10,夜行バス、東京駅(八重洲)→梅田,チャージ(交通費)
388,-2500,2019/02/09,飲み会,交際費
389,-740,2019/02/09,天一、キムチ定食,食費
390,-154,2019/02/09,東小金井から三鷹,チャージ(交通費)
391,-100,2019/02/09,自転車(三鷹駅),チャージ(交通費)
392,-154,2019/02/09,三鷹→東小金井,チャージ(交通費)
393,-100,2019/02/09,駐輪代,チャージ(交通費)
394,-216,2019/02/07,新宿→三鷹,チャージ(交通費)
395,-220,2019/02/07,三鷹→北裏,チャージ(交通費)
396,-410,2019/02/06,サービスエリア,食費
397,-620,2019/02/06,マック、Wチーズバーガーセット,食費
398,-930,2019/02/06,奈良先端大→梅田,チャージ(交通費)
399,-5250,2019/02/06,大阪から東京,チャージ(交通費)
400,-4732,2019/02/06,スマホ利用料,通信費
401,-1498,2019/02/05,くら寿司,食費
402,-100,2019/02/05,焼きそば,食費
403,-180,2019/02/04,大阪から鶴橋,チャージ(交通費)
404,-3456,2019/02/04,本: メモの魔力、LIFEHACK,自己投資資金
405,-870,2019/02/04,,チャージ(交通費)
406,-120,2019/02/04,福島から大阪,チャージ(交通費)
407,-650,2019/02/04,メルヘン、日替わり,食費
408,-320,2019/02/04,タリーズコーヒー,食費
409,-2370,2019/02/02,食材、鍋関連,食費
410,-570,2019/02/01,コンビニ,食費
411,-980,2019/02/01,Progate,自己投資資金
412,-100,2019/02/01,マック 、コーヒー,食費
